2018-11-05 03:06:14,b'@ArthurSamuelHu1 If you have ever watched #Narcos it is like that \xe2\x80\x94non stop \xe2\x80\x9cmarica\xe2\x80\x9d and \xe2\x80\x9cMaricon\xe2\x80\x9d among friends. T\xe2\x80\xa6 https://t.co/haorKhOpQJ'
2018-11-05 02:54:30,b'Police &amp; Military Counter Terrorism &amp; Tactical Training \n@ https://t.co/Qt7nh0Hz5S\n\n#military #defense #defence\xe2\x80\xa6 https://t.co/RNM3KjHPXD'
2018-11-05 01:28:35,"b""I've never watched #Narcos but I want to watch this new season because I like Michael Pena. Do I need to watch the previous seasons?"""
2018-11-05 00:37:25,b'Washington Has A Dark Secret!\nhttps://t.co/tkiAVIdLid\n#Superstar #Supergirl #FamilyGuy #ted #MacGyver #Homeland\xe2\x80\xa6 https://t.co/lDINoj9dYk'
2018-11-04 23:40:37,"b'RT @xAlab30x: ""Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on the war o\xe2\x80\xa6'"
2018-11-04 23:12:37,"b'Little buffalo chicken wings for a Sunday afternoon and watching #Narcos @ North Ontario, California https://t.co/rSv7CAZPE6'"
2018-11-04 21:52:12,"b'This summed up my thoughts about Narcos, I enjoyed every second through this serious ... #Narcos #Netflix https://t.co/c0NBtMyFp2'"
2018-11-04 21:16:03,"b'RT @IQUE0927: This song is so old, but i still vibe out to it!!! The feature i did with @madsquablz @Squablz \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\nhttps://t.co/ySZFvygDfB\n\n#\xe2\x80\xa6'"
2018-11-04 21:16:03,b'That #Narcos commercial with Diego Luna \xf0\x9f\x94\xa5'
2018-11-04 20:59:15,"b'""Foreign Affairs Secretary Teddyboy Locsin lashed out yesterday at groups and countries imposing Western methods on\xe2\x80\xa6 https://t.co/YBW30rwhWi'"
2018-11-04 19:31:56,"b'RT @IndieWire: Robin Wright takes over #HouseOfCards and Michael Pe\xc3\xb1a comes to #Narcos, only on Netflix this November. @BenTTravers breaks\xe2\x80\xa6'"
2018-11-04 19:19:30,"b'RT @IndieWire: Robin Wright takes over #HouseOfCards and Michael Pe\xc3\xb1a comes to #Narcos, only on Netflix this November. @BenTTravers breaks\xe2\x80\xa6'"
2018-11-04 19:17:44,"b'RT @IndieWire: Robin Wright takes over #HouseOfCards and Michael Pe\xc3\xb1a comes to #Narcos, only on Netflix this November. @BenTTravers breaks\xe2\x80\xa6'"
2018-11-04 19:17:39,"b'RT @IndieWire: Robin Wright takes over #HouseOfCards and Michael Pe\xc3\xb1a comes to #Narcos, only on Netflix this November. @BenTTravers breaks\xe2\x80\xa6'"
2018-11-04 19:17:14,"b'RT @IndieWire: Robin Wright takes over #HouseOfCards and Michael Pe\xc3\xb1a comes to #Narcos, only on Netflix this November. @BenTTravers breaks\xe2\x80\xa6'"
2018-11-04 19:15:00,"b'Robin Wright takes over #HouseOfCards and Michael Pe\xc3\xb1a comes to #Narcos, only on Netflix this November.\xe2\x80\xa6 https://t.co/umg4xHOC7q'"
2018-11-04 18:56:26,b'RT @OrlandoWilson1: Killing &amp; Dying for America\xe2\x80\x99s Addiction\nThe source of Narco Terrorism in Mexico and Latin America is the US\xe2\x80\x99s drug addi\xe2\x80\xa6'
2018-11-04 18:11:13,b'RT @MQdesigns13: new t-shirt #Plataoplomo #pabloescobar #narcos #NetflixAndChill https://t.co/3n7EKQQ5gx \xe2\x80\xa6 \xe2\x80\xa6 https://t.co/JcOIau46dK'
2018-11-04 18:06:29,b'@COMMANDOELITE99 Am I the only one who learned how to curse in Spanish by watching #Narcos??? https://t.co/zxkHcfUDIp'
